New Hampshire (EST) SCAN Site Hubbard Brook - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Nov 25 14:05:04 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,
,,,,
Site Id,Date,SNWD.I-1 (in) ,TOBS.I-1 (degC) ,PRCP.D-1 (in) 
2069,2023-10-01,0,11.8,0.01
2069,2023-10-02,0,15.3,0
2069,2023-10-03,0,13,0
2069,2023-10-04,0,17.7,0
2069,2023-10-05,0,17.3,0
2069,2023-10-06,0,15.7,0
2069,2023-10-07,0,15.6,0.2
2069,2023-10-08,0,8.9,0.56
2069,2023-10-09,0,6.1,0.14
2069,2023-10-10,0,6.9,0
2069,2023-10-11,0,7.1,0.08
2069,2023-10-12,0,7.9,0.01
2069,2023-10-13,0,5.3,0.01
2069,2023-10-14,1,7.9,0
2069,2023-10-15,0,7,0
2069,2023-10-16,0,7.8,0
2069,2023-10-17,0,7.9,0.1
2069,2023-10-18,0,7.9,0
2069,2023-10-19,0,8.2,0.01
2069,2023-10-20,0,9,0
2069,2023-10-21,0,12,0.8
2069,2023-10-22,0,9.1,1.94
2069,2023-10-23,0,4.5,0.33
2069,2023-10-24,0,2.3,0
2069,2023-10-25,0,7.6,0
2069,2023-10-26,0,15.2,0
2069,2023-10-27,0,14.3,0
2069,2023-10-28,0,16,0
2069,2023-10-29,0,6.6,0
2069,2023-10-30,0,3.6,0.1
2069,2023-10-31,0,0.9,1.05
2069,2023-11-01,0,-3.3,0
2069,2023-11-02,0,-2,0
2069,2023-11-03,0,0.3,0.01
2069,2023-11-04,0,4.9,0
2069,2023-11-05,0,7.2,0
2069,2023-11-06,0,-0.1,0
2069,2023-11-07,0,3,0.13
2069,2023-11-08,0,-1,0.3
2069,2023-11-09,0,-1.8,0.01
2069,2023-11-10,0,0.9,0
2069,2023-11-11,0,2.7,0.12
2069,2023-11-12,0,-3.3,0
2069,2023-11-13,0,-5.8,0
2069,2023-11-14,0,-2.1,0
2069,2023-11-15,1,0.2,0.07
2069,2023-11-16,1,2.6,0
2069,2023-11-17,1,2.9,0
2069,2023-11-18,1,9,0.18
2069,2023-11-19,1,-3.6,0.18
2069,2023-11-20,1,-1.7,0
2069,2023-11-21,1,-7,0
2069,2023-11-22,1,-2.5,0
2069,2023-11-23,3,1.7,1.06
2069,2023-11-24,2,2.2,0.01
2069,2023-11-25,2,-7.4,0
2069,2023-11-26,2,-5.3,0
2069,2023-11-27,2,0.5,0
2069,2023-11-28,2,-0.7,0.89
2069,2023-11-29,1,-7.1,0.01
2069,2023-11-30,1,-6.3,0
2069,2023-12-01,2,-0.7,0.02
2069,2023-12-02,2,2.1,0.13
2069,2023-12-03,1,1.8,0
2069,2023-12-04,3,0.1,0.03
2069,2023-12-05,5,-1.6,0.01
2069,2023-12-06,5,-8.1,0.01
2069,2023-12-07,5,-11.6,0
2069,2023-12-08,5,-5.7,0
2069,2023-12-09,4,-1.5,0.27
2069,2023-12-10,4,3.7,0.5
2069,2023-12-11,2,3.3,1.17
2069,2023-12-12,1,-2.8,0.72
2069,2023-12-13,1,-2,0.01
2069,2023-12-14,1,-6.6,0
2069,2023-12-15,2,-5.3,0.03
2069,2023-12-16,2,5.6,0
2069,2023-12-17,1,-0.1,0
2069,2023-12-18,0,7,0.4
2069,2023-12-19,0,4.1,3.49
2069,2023-12-20,0,-4.8,0
2069,2023-12-21,0,-3.1,0
2069,2023-12-22,0,-9.8,0
2069,2023-12-23,0,-6.4,0
2069,2023-12-24,0,-2.7,0
2069,2023-12-25,0,0.9,0.01
2069,2023-12-26,0,2.7,0.08
2069,2023-12-27,0,5.4,0.03
2069,2023-12-28,0,5.3,0.63
2069,2023-12-29,0,4,0.26
2069,2023-12-30,0,3.3,0.31
2069,2023-12-31,0,-3.3,0.12
2069,2024-01-01,0,-6.9,0
2069,2024-01-02,0,-9.7,0
2069,2024-01-03,0,-3.4,0
2069,2024-01-04,0,-1.4,0
2069,2024-01-05,0,-11.7,0
2069,2024-01-06,0,-3.7,0
2069,2024-01-07,2,-6.5,0
2069,2024-01-08,15,-6.9,0
2069,2024-01-09,13,-5.6,0
2069,2024-01-10,15,-0.4,0
2069,2024-01-11,12,0.6,2.02
2069,2024-01-12,10,-1,0
2069,2024-01-13,11,-1.1,0.02
2069,2024-01-14,11,-2,0.76
2069,2024-01-15,12,-9.1,0.01
2069,2024-01-16,12,-11.9,0.08
2069,2024-01-17,16,-10.3,0
2069,2024-01-18,15,-12.6,0
2069,2024-01-19,14,-9.3,0.07
2069,2024-01-20,13,-16,0
2069,2024-01-21,13,-14.3,0
2069,2024-01-22,13,-14.1,0
2069,2024-01-23,13,-2.4,0.3
2069,2024-01-24,12,-3.6,0
2069,2024-01-25,15,-0.8,0
2069,2024-01-26,13,0.7,0.88
2069,2024-01-27,12,-0.5,0.21
2069,2024-01-28,12,-0.5,0.28
2069,2024-01-29,11,-0.5,0.08
2069,2024-01-30,12,-4.5,0.05
2069,2024-01-31,12,-7.1,0
2069,2024-02-01,12,-4.1,0
2069,2024-02-02,12,-1.7,0
2069,2024-02-03,12,-5.2,0.16
2069,2024-02-04,12,-9,0.08
2069,2024-02-05,12,-6.7,0
2069,2024-02-06,12,-7.2,0
2069,2024-02-07,12,-3.7,0
2069,2024-02-08,12,-1.2,0
2069,2024-02-09,11,-1,0
2069,2024-02-10,11,1,0
2069,2024-02-11,11,3,0.07
2069,2024-02-12,10,-0.9,0
2069,2024-02-13,10,-1.4,0
2069,2024-02-14,10,-4.6,0
2069,2024-02-15,10,-8.6,0.01
2069,2024-02-16,10,-6.6,0.01
2069,2024-02-17,12,-7.9,0.1
2069,2024-02-18,12,-11.8,0.04
2069,2024-02-19,12,-5,0.01
2069,2024-02-20,12,-12.7,0
2069,2024-02-21,12,-7.8,0
2069,2024-02-22,12,-4.6,0
2069,2024-02-23,11,-1.3,0
2069,2024-02-24,11,1.9,0.08
2069,2024-02-25,11,-14.2,0.01
2069,2024-02-26,11,-5.3,0
2069,2024-02-27,10,-0.9,0
2069,2024-02-28,10,3.8,0.01
2069,2024-02-29,8,-0.3,0.71
2069,2024-03-01,8,-12,0
2069,2024-03-02,8,-2,0
2069,2024-03-03,8,3.8,0.42
2069,2024-03-04,6,4.3,0.08
2069,2024-03-05,5,1.3,0.02
2069,2024-03-06,4,3.2,1.27
2069,2024-03-07,2,6.4,0.57
2069,2024-03-08,0,-0.6,0.82
2069,2024-03-09,0,0.8,0.01
2069,2024-03-10,8,-1,0
2069,2024-03-11,2,-2.8,0.91
2069,2024-03-12,2,-1.3,0.06
2069,2024-03-13,1,-0.2,0.01
2069,2024-03-14,0,3.2,0
2069,2024-03-15,0,4.3,0
2069,2024-03-16,0,0.6,0.53
2069,2024-03-17,0,3.4,0
2069,2024-03-18,0,-0.2,0.11
2069,2024-03-19,0,-1.8,0.02
2069,2024-03-20,0,-2.6,0.04
2069,2024-03-21,2,-5.2,0.01
2069,2024-03-22,0,-8.8,0.38
2069,2024-03-23,0,-4.7,0
2069,2024-03-24,19,-6.3,0
2069,2024-03-25,15,-5.6,0.23
2069,2024-03-26,12,-1.6,0
2069,2024-03-27,10,1.7,0.02
2069,2024-03-28,6,5.3,0.35
2069,2024-03-29,3,2.2,0.45
2069,2024-03-30,2,-0.1,0
2069,2024-03-31,0,0.6,0
2069,2024-04-01,0,1.4,0
2069,2024-04-02,0,2.3,0
2069,2024-04-03,0,1.7,0
2069,2024-04-04,0,-1.1,0
2069,2024-04-05,6,-0.6,0
2069,2024-04-06,2,-0.3,0.57
2069,2024-04-07,0,-0.2,0
2069,2024-04-08,0,4.4,0
2069,2024-04-09,0,8.4,0
2069,2024-04-10,0,4,0
2069,2024-04-11,0,4.2,0.47
2069,2024-04-12,0,7.4,0.35
2069,2024-04-13,0,8,2.24
2069,2024-04-14,0,1.4,0.08
2069,2024-04-15,0,4.5,0.08
2069,2024-04-16,0,4.5,0.03
2069,2024-04-17,0,2.7,0.01
2069,2024-04-18,0,5.4,0
2069,2024-04-19,0,3.2,0.12
2069,2024-04-20,0,6.5,0
2069,2024-04-21,0,2.7,0.01
2069,2024-04-22,0,1.5,0
2069,2024-04-23,0,1,0
2069,2024-04-24,0,5.7,0
2069,2024-04-25,0,-3.1,0.11
2069,2024-04-26,0,-0.6,0
2069,2024-04-27,0,3.8,0
2069,2024-04-28,0,6.1,0.08
2069,2024-04-29,0,13.5,0.31
2069,2024-04-30,0,8.9,0
2069,2024-05-01,0,5,0.09
2069,2024-05-02,0,8.6,0.02
2069,2024-05-03,0,8.4,0.09
2069,2024-05-04,0,9.6,0
2069,2024-05-05,0,8.1,0
2069,2024-05-06,0,6.2,1.17
2069,2024-05-07,0,11.7,0.06
2069,2024-05-08,0,10.5,0
2069,2024-05-09,0,8.8,0.22
2069,2024-05-10,0,7.8,0
2069,2024-05-11,0,7.3,0
2069,2024-05-12,0,6.6,0
2069,2024-05-13,0,7,0
2069,2024-05-14,0,10.4,0
2069,2024-05-15,0,14.8,0.2
2069,2024-05-16,0,13.2,0
2069,2024-05-17,0,11.6,0
2069,2024-05-18,0,13.4,0
2069,2024-05-19,0,12.6,0.01
2069,2024-05-20,0,12.7,0
2069,2024-05-21,0,14.5,0
2069,2024-05-22,0,17.2,0
2069,2024-05-23,0,19.8,0.01
2069,2024-05-24,0,14.8,0.12
2069,2024-05-25,0,9.6,0
2069,2024-05-26,0,15.3,0
2069,2024-05-27,0,16.4,0.03
2069,2024-05-28,0,15.9,1.85
2069,2024-05-29,0,13.6,0.14
2069,2024-05-30,0,10.1,0
2069,2024-05-31,0,9.6,0
2069,2024-06-01,0,11.8,0
2069,2024-06-02,0,12.8,0
2069,2024-06-03,0,16.5,0
2069,2024-06-04,0,15.8,0
2069,2024-06-05,0,16.2,0
2069,2024-06-06,0,17,0.01
2069,2024-06-07,0,16.2,0.27
2069,2024-06-08,0,12.4,0.12
2069,2024-06-09,0,13.3,0.16
2069,2024-06-10,0,10,0.31
2069,2024-06-11,0,11.2,0.09
2069,2024-06-12,0,14,0
2069,2024-06-13,0,14.3,0.04
2069,2024-06-14,0,17.9,0
2069,2024-06-15,0,14.4,0.07
2069,2024-06-16,0,9.5,0
2069,2024-06-17,0,13.9,0
2069,2024-06-18,0,19.3,0
2069,2024-06-19,0,22.3,0
2069,2024-06-20,0,22.2,0.02
2069,2024-06-21,0,19.5,0.09
2069,2024-06-22,0,15.5,0.13
2069,2024-06-23,0,13.8,1.13
2069,2024-06-24,0,19.3,1.22
2069,2024-06-25,0,15.5,0.17
2069,2024-06-26,0,18.9,0
2069,2024-06-27,0,16.1,0.05
2069,2024-06-28,0,11.1,0.05
2069,2024-06-29,0,13.9,0
2069,2024-06-30,0,16,1.11
2069,2024-07-01,0,16.4,0.17
2069,2024-07-02,0,14.8,0
2069,2024-07-03,0,16,0
2069,2024-07-04,0,17.6,0
2069,2024-07-05,0,20.1,0
2069,2024-07-06,0,21.3,0
2069,2024-07-07,0,17.5,0.93
2069,2024-07-08,0,20,0
2069,2024-07-09,0,19.7,0
2069,2024-07-10,0,22.8,0
2069,2024-07-11,0,22.5,0.01
2069,2024-07-12,0,20,1.73
2069,2024-07-13,0,21,0
2069,2024-07-14,0,18.7,0.23
2069,2024-07-15,0,19,0
2069,2024-07-16,0,22,0
2069,2024-07-17,0,20.3,0.44
2069,2024-07-18,0,19.7,0.06
2069,2024-07-19,0,14,0.01
2069,2024-07-20,0,15.3,0
2069,2024-07-21,0,17.8,0
2069,2024-07-22,0,15.1,0
2069,2024-07-23,0,19.9,0
2069,2024-07-24,0,18,1.68
2069,2024-07-25,0,16.7,0.35
2069,2024-07-26,0,15.4,0.36
2069,2024-07-27,0,16.4,0
2069,2024-07-28,0,17.2,0
2069,2024-07-29,0,18.1,0
2069,2024-07-30,0,17.4,0.02
2069,2024-07-31,0,20.1,0.8
2069,2024-08-01,0,20.5,0.24
2069,2024-08-02,0,21.3,0
2069,2024-08-03,0,21.3,0
2069,2024-08-04,0,21.1,0.46
2069,2024-08-05,0,16.6,0.86
2069,2024-08-06,0,17.3,0.4
2069,2024-08-07,0,14.9,0
2069,2024-08-08,0,14,0
2069,2024-08-09,0,13.2,0.4
2069,2024-08-10,0,20,1.55
2069,2024-08-11,0,16.2,0.01
2069,2024-08-12,0,13.7,0.02
2069,2024-08-13,0,13.8,0.03
2069,2024-08-14,0,16,0
2069,2024-08-15,0,17.1,0
2069,2024-08-16,0,15,0.05
2069,2024-08-17,0,16.9,0
2069,2024-08-18,0,16.2,0.05
2069,2024-08-19,0,16.5,0.11
2069,2024-08-20,0,12.7,0.59
2069,2024-08-21,0,12.3,0
2069,2024-08-22,0,11.1,0.04
2069,2024-08-23,0,13,0.01
2069,2024-08-24,0,14.5,0
2069,2024-08-25,0,15.4,0
2069,2024-08-26,0,15,0
2069,2024-08-27,0,16,0.01
2069,2024-08-28,0,16.7,0.01
2069,2024-08-29,0,12.3,0
2069,2024-08-30,0,12.5,0
2069,2024-08-31,0,12.9,0
2069,2024-09-01,0,17.2,0.23
2069,2024-09-02,0,16.5,0.04
2069,2024-09-03,0,9.7,0
2069,2024-09-04,0,11.6,0
2069,2024-09-05,0,14,0
2069,2024-09-06,0,11.7,0
2069,2024-09-07,0,12.6,0
2069,2024-09-08,0,10.3,0.37
2069,2024-09-09,0,8.4,0.01
2069,2024-09-10,0,12.7,0.01
2069,2024-09-11,0,9.9,0
2069,2024-09-12,0,12.5,0
2069,2024-09-13,0,15.4,0
2069,2024-09-14,0,17.2,0
2069,2024-09-15,0,14.4,0
2069,2024-09-16,0,15.1,0
2069,2024-09-17,0,16.3,0
2069,2024-09-18,0,17.2,0
2069,2024-09-19,0,17.9,0
2069,2024-09-20,0,18.1,0
2069,2024-09-21,0,14.4,0
2069,2024-09-22,0,12,0
2069,2024-09-23,0,9.9,0
2069,2024-09-24,0,11,0
2069,2024-09-25,0,8.5,0
2069,2024-09-26,0,,0.3
2069,2024-09-27,0,,3.05
2069,2024-09-28,0,,0.01
2069,2024-09-29,0,,0
2069,2024-09-30,0,,0.01
2069,2024-10-01,0,,0
2069,2024-10-02,0,,0
2069,2024-10-03,0,,0
2069,2024-10-04,0,,0
2069,2024-10-05,0,,0
2069,2024-10-06,0,,0.05
2069,2024-10-07,0,,0
2069,2024-10-08,0,,0.67
2069,2024-10-09,0,6.5,0
2069,2024-10-10,0,5.3,0
2069,2024-10-11,0,6.6,0.01
2069,2024-10-12,0,10.9,0
2069,2024-10-13,0,3.4,0.01
2069,2024-10-14,0,3.7,0.27
2069,2024-10-15,0,3.5,0.3
2069,2024-10-16,0,1.7,0.06
2069,2024-10-17,0,1.2,0.08
2069,2024-10-18,0,6.7,0
2069,2024-10-19,0,7.9,0
2069,2024-10-20,0,10.1,0
2069,2024-10-21,0,12.4,0
2069,2024-10-22,0,14.7,0
2069,2024-10-23,0,12.7,0
