New Hampshire (EST) SCAN Site Hubbard Brook - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Nov 25 14:05:04 GMT-08:00 2025. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,
,,,
Site Id,Date,Time,SNWD.I-1 (in) 
2069,2023-01-01,,2
2069,2023-01-02,,1
2069,2023-01-03,,1
2069,2023-01-04,,1
2069,2023-01-05,,0
2069,2023-01-06,,1
2069,2023-01-07,,1
2069,2023-01-08,,2
2069,2023-01-09,,2
2069,2023-01-10,,2
2069,2023-01-11,,2
2069,2023-01-12,,3
2069,2023-01-13,,8
2069,2023-01-14,,5
2069,2023-01-15,,5
2069,2023-01-16,,5
2069,2023-01-17,,5
2069,2023-01-18,,5
2069,2023-01-19,,5
2069,2023-01-20,,6
2069,2023-01-21,,8
2069,2023-01-22,,9
2069,2023-01-23,,10
2069,2023-01-24,,15
2069,2023-01-25,,11
2069,2023-01-26,,15
2069,2023-01-27,,13
2069,2023-01-28,,13
2069,2023-01-29,,13
2069,2023-01-30,,13
2069,2023-01-31,,12
2069,2023-02-01,,12
2069,2023-02-02,,11
2069,2023-02-03,,12
2069,2023-02-04,,11
2069,2023-02-05,,12
2069,2023-02-06,,12
2069,2023-02-07,,12
2069,2023-02-08,,12
2069,2023-02-09,,12
2069,2023-02-10,,12
2069,2023-02-11,,11
2069,2023-02-12,,11
2069,2023-02-13,,11
2069,2023-02-14,,11
2069,2023-02-15,,11
2069,2023-02-16,,11
2069,2023-02-17,,9
2069,2023-02-18,,8
2069,2023-02-19,,8
2069,2023-02-20,,8
2069,2023-02-21,,8
2069,2023-02-22,,7
2069,2023-02-23,,8
2069,2023-02-24,,14
2069,2023-02-25,,14
2069,2023-02-26,,14
2069,2023-02-27,,15
2069,2023-02-28,,14
2069,2023-03-01,,21
2069,2023-03-02,,19
2069,2023-03-03,,23
2069,2023-03-04,,20
2069,2023-03-05,,31
2069,2023-03-06,,27
2069,2023-03-07,,26
2069,2023-03-08,,25
2069,2023-03-09,,23
2069,2023-03-10,,22
2069,2023-03-11,,20
2069,2023-03-12,,19
2069,2023-03-13,,18
2069,2023-03-14,,20
2069,2023-03-15,,24
2069,2023-03-16,,23
2069,2023-03-17,,20
2069,2023-03-18,,19
2069,2023-03-19,,17
2069,2023-03-20,,17
2069,2023-03-21,,16
2069,2023-03-22,,16
2069,2023-03-23,,14
2069,2023-03-24,,14
2069,2023-03-25,,13
2069,2023-03-26,,15
2069,2023-03-27,,15
2069,2023-03-28,,14
2069,2023-03-29,,13
2069,2023-03-30,,12
2069,2023-03-31,,12
2069,2023-04-01,,18
2069,2023-04-02,,15
2069,2023-04-03,,14
2069,2023-04-04,,12
2069,2023-04-05,,11
2069,2023-04-06,,11
2069,2023-04-07,,9
2069,2023-04-08,,8
2069,2023-04-09,,7
2069,2023-04-10,,4
2069,2023-04-11,,3
2069,2023-04-12,,0
2069,2023-04-13,,0
2069,2023-04-14,,0
2069,2023-04-15,,0
2069,2023-04-16,,0
2069,2023-04-17,,0
2069,2023-04-18,,0
2069,2023-04-19,,0
2069,2023-04-20,,0
2069,2023-04-21,,0
2069,2023-04-22,,0
2069,2023-04-23,,0
2069,2023-04-24,,0
2069,2023-04-25,,0
2069,2023-04-26,,0
2069,2023-04-27,,0
2069,2023-04-28,,0
2069,2023-04-29,,0
2069,2023-04-30,,0
2069,2023-05-01,,0
2069,2023-05-02,,0
2069,2023-05-03,,0
2069,2023-05-04,,0
2069,2023-05-05,,0
2069,2023-05-06,,0
2069,2023-05-07,,0
2069,2023-05-08,,0
2069,2023-05-09,,0
2069,2023-05-10,,0
2069,2023-05-11,,0
2069,2023-05-12,,0
2069,2023-05-13,,0
2069,2023-05-14,,0
2069,2023-05-15,,0
2069,2023-05-16,,0
2069,2023-05-17,,0
2069,2023-05-18,,0
2069,2023-05-19,,0
2069,2023-05-20,,0
2069,2023-05-21,,0
2069,2023-05-22,,0
2069,2023-05-23,,0
2069,2023-05-24,,0
2069,2023-05-25,,0
2069,2023-05-26,,0
2069,2023-05-27,,0
2069,2023-05-28,,0
2069,2023-05-29,,0
2069,2023-05-30,,0
2069,2023-05-31,,0
